Class,OutLinkNum,OutLinkProp,OutLinkNum2,OutLinkProp2,InLinkNum,InLinkProp,InLinkNum2,InLinkProp2
Actor,13,0.154761904762,1426,0.0633918648589,3,0.0491803278689,748,0.0635352076786
Actor,2,0.0571428571429,503,0.063824387768,3,0.0352941176471,1105,0.121228743829
Actor,2,0.0434782608696,327,0.0379702740362,6,0.142857142857,268,0.0303098846415
Actor,2,0.08,366,0.11582278481,1,0.0454545454545,123,0.0532006920415
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,1,0.000916590284143,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,237,0.0286577992745,1,0.00609756097561,241,0.0102846413178
Nonactor,0,0.0,37,0.00188679245283,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,2,0.0625,167,0.0162831513261,0,0.0,80,0.0448179271709
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0,0,0
Nonactor,0,0.0,211,0.0246265172736,0,0.0,197,0.0106919945726
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,7,0.00466977985324,0,0.0,0,0.0
Nonactor,0,0,0,0,7,0.777777777778,178,0.160940325497
Nonactor,0,0.0,5,0.000406471018616,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,6,0.000642811227769
Nonactor,7,0.0284552845528,1600,0.0353193086245,1,0.01,247,0.0252530416113
Nonactor,0,0.0,3,0.000373412994772,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,5,0.15625,682,0.0690562980964,0,0.0,9,0.0115089514066
Nonactor,0,0.0,2,0.000138811771238,0,0.0,20,0.000411336432068
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,4,0.00156188988676,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,7,0.000165562913907,0,0.0,3,0.000169405387091
Nonactor,0,0.0,7,0.0014329580348,0,0.0,4,0.00319488817891
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,9,0.000420226922538,0,0.0,7,0.000349109770086
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,3,0.000696378830084,0,0.0,2,0.000322216851941
Nonactor,0,0.0,1,7.23746109865e-05,0,0.0,6,0.000464504141829
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,6,0.00131578947368,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,1,0.000101245317404,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,1,0.00205761316872
Nonactor,0,0,0,0,0,0.0,77,0.00124520917897
Nonactor,0,0.0,1,0.00143266475645,0,0.0,3,0.00528169014085
Nonactor,0,0.0,1,0.00180505415162,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,9,0.00144415917843,0,0.0,1,0.000419111483655
Nonactor,0,0.0,2,0.000367714653429,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0,0,0
Nonactor,0,0.0,1,4.0086587028e-05,0,0,0,0
Nonactor,0,0.0,0,0.0,0,0.0,1,5.92803367123e-05
Nonactor,0,0.0,7,0.000616468516072,0,0.0,5,0.000726744186047
