PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,hits
15325636,Actor,0,0,208,0.0286461919846,0,0,46,0.015111695138,0.0
17171282,Actor,1,0.0416666666667,435,0.0825270347183,0,0,130,0.122180451128,0.0
1484075,Actor,5,0.0925925925926,708,0.0636118598383,1,0.0144927536232,953,0.100157645822,0.000116310146592
12440785,Actor,0,0,173,0.0383506982931,1,0.0357142857143,129,0.0181972069403,6.62697740801e-05
2497114,Actor,0,0,498,0.104293193717,1,0.0666666666667,357,0.0708052360175,2.37900322081e-05
24752923,Actor,1,0.0625,987,0.18486607979,1,0.0714285714286,105,0.112660944206,5.43041147629e-05
23098630,Actor,1,0.0454545454545,309,0.0549919914576,0,0,3,0.027027027027,0.0
1265591,Actor,45,0.310344827586,3782,0.157714762302,50,0.322580645161,4592,0.182200531683,0.00445638326428
1783199,Actor,0,0,101,0.0415637860082,0,0,60,0.166666666667,0.0
22307700,Actor,0,0,43,0.0296756383713,0,0,12,0.093023255814,0.0
7436500,Actor,4,0.0851063829787,410,0.0414727898038,2,0.0869565217391,34,0.0282157676349,9.79248014006e-05
3113624,Actor,3,0.103448275862,241,0.103167808219,4,0.0909090909091,326,0.0816020025031,0.000159672320631
26273208,Actor,0,0,0,0,0,0,60,0.151898734177,0.0
24480396,Actor,0,0,4741,0.264786372522,0,0,66,0.137214137214,0.0
5605265,Actor,20,0.454545454545,1063,0.163866193926,23,0.489361702128,1021,0.269109119663,0.00125672475941
1247413,Actor,1,0.0588235294118,58,0.0136921624174,1,0.0714285714286,9,0.0102622576967,5.60449222362e-05
300361,Actor,2,0.0606060606061,634,0.10135891287,1,0.0243902439024,389,0.0467998075072,0.000148862483406
27533821,Actor,0,0,0,0,0,0,86,0.0421775380088,0.0
12303441,Actor,4,0.0769230769231,480,0.060263653484,0,0,557,0.0490705664699,0.0
1676102,Actor,16,0.155339805825,2267,0.11361699995,13,0.0730337078652,3074,0.108399746103,0.000922903771226
1671212,Actor,5,0.185185185185,588,0.0576753310446,1,0.0833333333333,42,0.0405405405405,4.73539353911e-05
14928786,Actor,7,0.333333333333,267,0.0870557548093,0,0,127,0.330729166667,0.0
15329914,Actor,7,0.159090909091,577,0.0418905183679,0,0,1131,0.138095238095,0.0
20906404,Actor,9,0.473684210526,236,0.0622855634732,0,0,21,0.161538461538,0.0
12048291,Actor,0,0,96,0.0185866408519,0,0,0,0,0.0
5910885,Actor,3,0.2,458,0.143528674397,0,0,74,0.226993865031,0.0
9495366,Actor,0,0,170,0.0233837689133,0,0,120,0.0335476656416,0.0
706347,Actor,17,0.309090909091,851,0.132224984462,12,0.210526315789,726,0.114150943396,0.000479922396114
2692224,Actor,8,0.2,544,0.0527796643058,12,0.0794701986755,1665,0.0755684654836,0.000455342315094
1565425,Actor,0,0,451,0.121596117552,0,0,187,0.0449411199231,0.0
23008456,Actor,1,0.0769230769231,121,0.0519982810486,1,0.0625,228,0.0907643312102,0.0
21490944,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
22150826,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
715089,Nonactor,0,0.0,7,0.000504504504505,1,0.00520833333333,246,0.00338023524239,7.24035061279e-05
32867564,Nonactor,0,0,0,0,0,0.0,1,0.000754716981132,0.0
12210936,Nonactor,0,0.0,1,0.000301477238468,0,0.0,2,0.00374531835206,0.0
1068017,Nonactor,0,0.0,132,0.00808526277104,5,0.0510204081633,7,0.000825666430762,0.000208021607704
11883613,Nonactor,0,0.0,40,0.00553403431101,0,0.0,33,0.00968025814022,0.0
7133292,Nonactor,0,0.0,1,7.97575370873e-05,0,0.0,1,0.000158553987633,0.0
26965719,Nonactor,0,0,0,0,0,0,0,0,0
19399801,Nonactor,0,0.0,1,0.000212269157291,0,0.0,0,0.0,0
4333268,Nonactor,0,0.0,4,0.000282925449144,0,0.0,3,0.00039989336177,0.0
28735914,Nonactor,0,0,0,0,0,0.0,0,0.0,0
24503874,Nonactor,0,0.0,3,0.00110456553756,0,0.0,0,0.0,0.0
25908692,Nonactor,0,0,0,0,0,0.0,0,0.0,0
13569240,Nonactor,0,0.0,0,0.0,0,0.0,0,0,0
18538301,Nonactor,0,0.0,2,0.000310029452798,0,0.0,1,0.000175839634254,0.0
2842462,Nonactor,0,0.0,414,0.023159543522,0,0.0,25,0.00541711809317,0.0
2298830,Nonactor,0,0.0,514,0.0674540682415,0,0.0,17,0.00666144200627,0.0
18907749,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
12270529,Nonactor,0,0.0,2,0.000160243570227,0,0.0,0,0.0,0.0
25765716,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
18493534,Nonactor,1,0.05,179,0.0386943363597,0,0.0,3,0.0214285714286,0.0
4177506,Nonactor,0,0.0,0,0.0,0,0,0,0,0
14271385,Nonactor,1,0.25,10,0.0174216027875,0,0.0,0,0.0,0.0
6256946,Nonactor,0,0.0,8,0.00378071833648,0,0.0,0,0.0,0.0
16281554,Nonactor,0,0.0,10,0.00188253012048,0,0.0,0,0.0,0.0
11037313,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
20157725,Nonactor,0,0.0,32,0.0191044776119,0,0.0,1,0.00813008130081,0.0
19806782,Nonactor,1,0.0526315789474,50,0.0323206205559,0,0.0,1,0.0625,0.0
13173120,Nonactor,0,0.0,12,0.00469483568075,1,0.0454545454545,2,0.00496277915633,4.47664263682e-05
32652118,Nonactor,0,0,0,0,0,0.0,0,0.0,0.0
606871,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
29024391,Nonactor,0,0,0,0,0,0.0,0,0.0,0
13641053,Nonactor,0,0.0,0,0.0,0,0.0,0,0,0.0
11821029,Nonactor,0,0.0,4,0.000320744126373,0,0.0,0,0.0,0.0
19244151,Nonactor,0,0.0,0,0.0,0,0.0,0,0,0.0
3222645,Nonactor,0,0.0,47,0.013726635514,0,0.0,1,0.00245098039216,0.0
33373657,Nonactor,0,0,0,0,0,0,0,0,0
1616321,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0
9895516,Nonactor,0,0.0,0,0.0,0,0.0,0,0.0,0.0
19984430,Nonactor,0,0.0,5,0.000871080139373,0,0.0,0,0.0,0.0
32170211,Nonactor,0,0,0,0,0,0.0,5,0.00588928150766,0.0
32778750,Nonactor,0,0,0,0,0,0.0,0,0,0.0
168115,Nonactor,0,0.0,2,0.000277507978354,0,0.0,0,0.0,0.0
8283300,Nonactor,0,0.0,2,4.99750124938e-05,0,0.0,0,0.0,0
3900869,Nonactor,2,0.333333333333,39,0.0222095671982,2,0.5,21,0.0461538461538,0.000139316487339
